symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
SOL/USDT,SHORT,95.0439874,2024-01-12 16:00:00+00:00,2024-01-13 19:00:00+00:00,95.0439874,SL_HIT,131.0322,80,90.96476709519445,95.0439874,10131.03
SOL/USDT,SHORT,93.0033956,2024-01-19 20:00:00+00:00,2024-01-22 19:00:00+00:00,82.7255728080385,TP3_HIT,206.0181,67,89.27784465746855,93.0033956,10337.05
SOL/USDT,SHORT,85.697857,2024-01-22 20:00:00+00:00,2024-01-24 00:00:00+00:00,85.697857,SL_HIT,135.5471,75,81.95582624850331,85.697857,10472.6
SOL/USDT,LONG,114.86396819999999,2024-02-28 17:00:00+00:00,2024-02-28 18:00:00+00:00,110.48129000991538,SL_HIT,-108.5686,80,120.65394665344614,110.48129000991538,10364.03
SOL/USDT,LONG,113.3296614,2024-02-28 18:00:00+00:00,2024-02-29 08:00:00+00:00,130.85166734719283,TP3_HIT,212.7098,85,119.68687903534284,113.3296614,10576.74
SOL/USDT,LONG,129.405876,2024-02-29 09:00:00+00:00,2024-02-29 22:00:00+00:00,123.80321189306927,SL_HIT,-109.1875,75,136.81571747590763,123.80321189306927,10467.55
SOL/USDT,LONG,134.0328012,2024-03-01 02:00:00+00:00,2024-03-02 01:00:00+00:00,127.588365357642,SL_HIT,-107.7234,67,142.56284618981064,127.588365357642,10359.83
SOL/USDT,LONG,139.3988742,2024-03-05 15:00:00+00:00,2024-03-05 16:00:00+00:00,134.89632715436085,SL_HIT,-108.0886,80,145.33723046085223,134.89632715436085,10251.74
SOL/USDT,LONG,133.336662,2024-03-05 16:00:00+00:00,2024-03-05 17:00:00+00:00,128.1058037861922,SL_HIT,-106.1759,73,140.24892828507706,128.1058037861922,10145.56
SOL/USDT,LONG,135.26904839999997,2024-03-05 17:00:00+00:00,2024-03-05 19:00:00+00:00,129.56417494432134,SL_HIT,-104.8235,73,142.81243340757155,129.56417494432134,10040.74
SOL/USDT,SHORT,121.95560400000001,2024-03-05 22:00:00+00:00,2024-03-06 06:00:00+00:00,130.4064624354772,SL_HIT,-102.436,73,110.74471675269706,130.4064624354772,9938.3
SOL/USDT,LONG,132.3424632,2024-03-06 21:00:00+00:00,2024-03-08 14:00:00+00:00,150.38376300630762,TP3_HIT,203.3418,90,138.8860956386573,132.3424632,10141.65
SOL/USDT,LONG,148.55670539999997,2024-03-08 16:00:00+00:00,2024-03-10 14:00:00+00:00,143.27462287637303,SL_HIT,-105.4097,67,155.53016949816924,143.27462287637303,10036.24
SOL/USDT,LONG,168.8497632,2024-03-14 14:00:00+00:00,2024-03-14 18:00:00+00:00,163.40383732288961,SL_HIT,-104.7188,67,176.03221690281384,163.40383732288961,9931.52
SOL/USDT,LONG,173.154624,2024-03-14 22:00:00+00:00,2024-03-15 03:00:00+00:00,173.154624,SL_HIT,62.0344,67,182.0422517408604,173.154624,9993.55
SOL/USDT,LONG,176.24724239999998,2024-03-15 03:00:00+00:00,2024-03-15 08:00:00+00:00,167.56523893371352,SL_HIT,-102.7757,90,187.74101475504864,167.56523893371352,9890.78
SOL/USDT,LONG,173.21663639999997,2024-03-15 09:00:00+00:00,2024-03-18 10:00:00+00:00,209.3670925453048,TP3_HIT,204.212,67,186.34021547101992,173.21663639999997,10094.99
SOL/USDT,LONG,209.0598036,2024-03-18 10:00:00+00:00,2024-03-18 14:00:00+00:00,201.86023832476,SL_HIT,-105.0538,80,218.56168223365336,201.86023832476,9989.93
SOL/USDT,LONG,203.950782,2024-03-18 15:00:00+00:00,2024-03-18 17:00:00+00:00,196.61973771310895,SL_HIT,-103.7902,67,213.63034971585472,196.61973771310895,9886.14
SOL/USDT,SHORT,179.5280872,2024-03-19 09:00:00+00:00,2024-03-20 18:00:00+00:00,179.5280872,SL_HIT,62.7492,84,167.37365608938995,179.5280872,9948.89
SOL/USDT,LONG,188.7397404,2024-03-21 04:00:00+00:00,2024-03-21 17:00:00+00:00,181.02338180562205,SL_HIT,-102.8958,90,198.94015759250394,181.02338180562205,9846.0
SOL/USDT,SHORT,178.379317,2024-03-21 22:00:00+00:00,2024-03-23 14:00:00+00:00,178.379317,SL_HIT,61.2648,66,169.72013692248524,178.379317,9907.26
SOL/USDT,SHORT,151.0177904,2024-04-12 18:00:00+00:00,2024-04-13 19:00:00+00:00,129.43720416508023,TP3_HIT,202.9505,65,143.1895287873019,151.0177904,10110.21
SOL/USDT,SHORT,133.68325800000002,2024-04-13 19:00:00+00:00,2024-04-13 22:00:00+00:00,133.68325800000002,SL_HIT,134.9019,65,123.64490710969618,133.68325800000002,10245.11
SOL/USDT,SHORT,140.8608222,2024-04-13 22:00:00+00:00,2024-04-14 23:00:00+00:00,151.52754147594686,SL_HIT,-104.3452,90,126.70427803207089,151.52754147594686,10140.77
SOL/USDT,SHORT,139.85602319999998,2024-04-15 16:00:00+00:00,2024-04-17 04:00:00+00:00,139.85602319999998,SL_HIT,63.7449,80,131.9199998418933,139.85602319999998,10204.51
SOL/USDT,SHORT,132.06558160000003,2024-04-17 12:00:00+00:00,2024-04-17 18:00:00+00:00,136.93075708177216,SL_HIT,-105.9232,90,125.64032389097049,136.93075708177216,10098.59
SOL/USDT,SHORT,133.27433979999998,2024-04-17 20:00:00+00:00,2024-04-18 14:00:00+00:00,138.92629809772748,SL_HIT,-104.3197,90,125.80060253636334,138.92629809772748,9994.27
