symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
SOL/USDT,SHORT,95.37692080000001,2024-01-12 15:00:00+00:00,2024-01-13 19:00:00+00:00,95.37692080000001,SL_HIT,130.6599,68,91.53990302584783,95.37692080000001,10130.66
SOL/USDT,SHORT,93.0033956,2024-01-19 20:00:00+00:00,2024-01-22 19:00:00+00:00,82.7255728080385,TP3_HIT,206.0105,77,89.27784465746855,93.0033956,10336.67
SOL/USDT,SHORT,83.65626540000001,2024-01-22 19:00:00+00:00,2024-01-23 17:00:00+00:00,83.65626540000001,SL_HIT,63.7217,65,80.06635134454203,83.65626540000001,10400.39
SOL/USDT,SHORT,82.5394888,2024-01-23 17:00:00+00:00,2024-01-24 00:00:00+00:00,85.25173607776529,SL_HIT,-108.435,77,78.96168522964628,85.25173607776529,10291.96
SOL/USDT,SHORT,94.13017020000001,2024-02-01 01:00:00+00:00,2024-02-01 15:00:00+00:00,97.24927249576304,SL_HIT,-107.2679,68,90.01530333898262,97.24927249576304,10184.69
SOL/USDT,LONG,114.86396819999999,2024-02-28 17:00:00+00:00,2024-02-28 18:00:00+00:00,110.48129000991538,SL_HIT,-105.5839,80,120.65394665344614,110.48129000991538,10079.11
SOL/USDT,LONG,113.3296614,2024-02-28 18:00:00+00:00,2024-02-29 08:00:00+00:00,130.85166734719283,TP3_HIT,206.8621,90,119.68687903534284,113.3296614,10285.97
SOL/USDT,LONG,131.841363,2024-02-29 08:00:00+00:00,2024-02-29 21:00:00+00:00,126.33734357715153,SL_HIT,-106.3091,65,139.1185418971313,126.33734357715153,10179.66
SOL/USDT,LONG,127.93858259999999,2024-02-29 21:00:00+00:00,2024-03-02 01:00:00+00:00,127.93858259999999,SL_HIT,64.1951,77,135.60846781433725,127.93858259999999,10243.85
SOL/USDT,LONG,139.3988742,2024-03-05 15:00:00+00:00,2024-03-05 16:00:00+00:00,134.89632715436085,SL_HIT,-106.8786,80,145.33723046085223,134.89632715436085,10136.97
SOL/USDT,LONG,133.336662,2024-03-05 16:00:00+00:00,2024-03-05 17:00:00+00:00,128.1058037861922,SL_HIT,-104.9873,78,140.24892828507706,128.1058037861922,10031.99
SOL/USDT,LONG,135.26904839999997,2024-03-05 17:00:00+00:00,2024-03-05 19:00:00+00:00,129.56417494432134,SL_HIT,-103.6501,78,142.81243340757155,129.56417494432134,9928.34
SOL/USDT,SHORT,118.3153322,2024-03-05 20:00:00+00:00,2024-03-05 23:00:00+00:00,127.07064874173689,SL_HIT,-101.1617,68,106.69680167768415,127.07064874173689,9827.18
SOL/USDT,SHORT,125.3329284,2024-03-05 23:00:00+00:00,2024-03-06 08:00:00+00:00,133.824893690086,SL_HIT,-100.3023,73,114.06880841321869,133.824893690086,9726.87
SOL/USDT,LONG,132.3424632,2024-03-06 21:00:00+00:00,2024-03-08 14:00:00+00:00,150.38376300630762,TP3_HIT,199.0158,90,138.8860956386573,132.3424632,9925.89
SOL/USDT,LONG,148.55670539999997,2024-03-08 16:00:00+00:00,2024-03-10 14:00:00+00:00,143.27462287637303,SL_HIT,-103.1672,77,155.53016949816924,143.27462287637303,9822.72
SOL/USDT,LONG,168.8497632,2024-03-14 14:00:00+00:00,2024-03-14 18:00:00+00:00,163.40383732288961,SL_HIT,-102.4909,77,176.03221690281384,163.40383732288961,9720.23
SOL/USDT,LONG,173.154624,2024-03-14 22:00:00+00:00,2024-03-15 03:00:00+00:00,173.154624,SL_HIT,60.7146,77,182.0422517408604,173.154624,9780.95
SOL/USDT,LONG,176.24724239999998,2024-03-15 03:00:00+00:00,2024-03-15 08:00:00+00:00,167.56523893371352,SL_HIT,-100.5892,90,187.74101475504864,167.56523893371352,9680.36
SOL/USDT,LONG,173.21663639999997,2024-03-15 09:00:00+00:00,2024-03-18 10:00:00+00:00,209.3670925453048,TP3_HIT,199.8675,77,186.34021547101992,173.21663639999997,9880.22
