symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
BNB/USDT,SHORT,390.33191800000003,2024-03-05 21:00:00+00:00,2024-03-06 05:00:00+00:00,404.42252322240086,SL_HIT,-103.8782,78,371.72663570346555,404.42252322240086,9896.12
BNB/USDT,LONG,422.474478,2024-03-06 13:00:00+00:00,2024-03-07 21:00:00+00:00,472.63784146868534,TP3_HIT,201.694,88,440.6619423522492,422.474478,10097.82
BNB/USDT,LONG,597.16941,2024-03-15 15:00:00+00:00,2024-03-16 13:00:00+00:00,597.16941,SL_HIT,63.1112,90,628.1011408684549,597.16941,10160.93
BNB/USDT,SHORT,553.899198,2024-03-18 00:00:00+00:00,2024-03-18 05:00:00+00:00,570.6694496297766,SL_HIT,-106.3077,68,531.7974004936311,570.6694496297766,10054.62
BNB/USDT,SHORT,547.84041,2024-03-18 16:00:00+00:00,2024-03-20 20:00:00+00:00,547.84041,SL_HIT,131.356,80,525.8655613575434,547.84041,10185.98
BNB/USDT,SHORT,544.3311120000001,2024-04-13 19:00:00+00:00,2024-04-13 22:00:00+00:00,544.3311120000001,SL_HIT,133.5356,68,520.6919125714634,544.3311120000001,10319.51
BNB/USDT,SHORT,554.409096,2024-04-13 22:00:00+00:00,2024-04-15 07:00:00+00:00,578.9392478354123,SL_HIT,-106.4604,100,521.961002886117,578.9392478354123,10213.05
BNB/USDT,SHORT,468.546272,2024-07-05 03:00:00+00:00,2024-07-05 11:00:00+00:00,484.3505672082375,SL_HIT,-106.3695,65,447.6925770556833,484.3505672082375,10106.68
BNB/USDT,SHORT,485.212938,2024-07-05 11:00:00+00:00,2024-07-06 00:00:00+00:00,502.2871394876197,SL_HIT,-105.0878,100,462.6738140165071,502.2871394876197,10001.59
BNB/USDT,SHORT,452.639454,2024-08-05 01:00:00+00:00,2024-08-05 14:00:00+00:00,452.639454,SL_HIT,131.8352,65,430.0479839173588,452.639454,10133.43
BNB/USDT,LONG,760.45206,2024-12-04 00:00:00+00:00,2024-12-04 15:00:00+00:00,760.45206,SL_HIT,62.2072,65,791.4701720968485,760.45206,10195.64
BNB/USDT,LONG,757.131396,2024-12-04 15:00:00+00:00,2024-12-04 16:00:00+00:00,734.05210984685,SL_HIT,-106.639,77,787.5505202042,734.05210984685,10089.0
BNB/USDT,SHORT,681.61365,2024-12-09 21:00:00+00:00,2024-12-09 23:00:00+00:00,681.61365,SL_HIT,61.8661,68,654.1658985931894,681.61365,10150.86
BNB/USDT,SHORT,689.4020919999999,2024-12-09 23:00:00+00:00,2024-12-11 09:00:00+00:00,689.4020919999999,SL_HIT,62.6787,78,659.2043207257602,689.4020919999999,10213.54
BNB/USDT,SHORT,619.286118,2024-12-20 11:00:00+00:00,2024-12-20 12:00:00+00:00,638.3771466373147,SL_HIT,-106.7738,65,594.120471150247,638.3771466373147,10106.77
BNB/USDT,SHORT,645.900794,2024-12-20 12:00:00+00:00,2024-12-20 15:00:00+00:00,667.0644933060779,SL_HIT,-105.386,90,617.9840089252293,667.0644933060779,10001.38
BNB/USDT,SHORT,550.3099159999999,2025-02-03 01:00:00+00:00,2025-02-03 03:00:00+00:00,550.3099159999999,SL_HIT,63.0252,65,517.7334720401093,550.3099159999999,10064.41
BNB/USDT,SHORT,552.7194340000001,2025-02-03 03:00:00+00:00,2025-02-03 10:00:00+00:00,581.5964919332456,SL_HIT,-103.341,65,514.4746774223393,581.5964919332456,9961.07
BNB/USDT,SHORT,581.393698,2025-02-03 10:00:00+00:00,2025-02-03 19:00:00+00:00,606.4110219769245,SL_HIT,-102.8515,87,548.3086373641006,606.4110219769245,9858.21
BNB/USDT,SHORT,575.93479,2025-02-04 05:00:00+00:00,2025-02-08 13:00:00+00:00,593.715880300636,SL_HIT,-103.0525,80,552.4954929324853,593.715880300636,9755.16
BNB/USDT,LONG,703.920756,2025-02-13 15:00:00+00:00,2025-02-13 16:00:00+00:00,682.218135656775,SL_HIT,-101.9813,65,732.5291524576332,682.218135656775,9653.18
BNB/USDT,SHORT,1116.97656,2025-10-11 00:00:00+00:00,2025-10-12 09:00:00+00:00,1191.9228124030192,SL_HIT,-98.546,68,1017.5695834626413,1191.9228124030192,9554.63
BNB/USDT,LONG,1224.8849280000002,2025-10-12 13:00:00+00:00,2025-10-13 08:00:00+00:00,1365.2280718730265,TP3_HIT,194.5211,80,1275.762935226555,1224.8849280000002,9749.16
BNB/USDT,LONG,1314.9629400000001,2025-10-13 10:00:00+00:00,2025-10-13 11:00:00+00:00,1272.1377018897458,SL_HIT,-101.6825,87,1371.4497308136724,1272.1377018897458,9647.47
