symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
ETH/USDT,LONG,3322.724412,2024-02-28 18:00:00+00:00,2024-02-29 21:00:00+00:00,3322.724412,SL_HIT,61.5585,80,3462.8276126827104,3322.724412,10061.56
ETH/USDT,LONG,3753.170484,2024-03-06 06:00:00+00:00,2024-03-11 00:00:00+00:00,3753.170484,SL_HIT,62.3749,90,3926.310598515996,3753.170484,10123.93
ETH/USDT,SHORT,3303.969074,2024-03-19 15:00:00+00:00,2024-03-20 12:00:00+00:00,3303.969074,SL_HIT,132.2384,90,3171.9471008808528,3303.969074,10256.17
ETH/USDT,SHORT,3016.8965000000003,2024-04-13 22:00:00+00:00,2024-04-14 22:00:00+00:00,3138.7998565698636,SL_HIT,-106.1152,75,2855.7668579068486,3138.7998565698636,10150.06
ETH/USDT,LONG,3813.06246,2024-05-23 22:00:00+00:00,2024-05-24 06:00:00+00:00,3681.950977600561,SL_HIT,-105.6332,67,3986.0986965325856,3681.950977600561,10044.42
ETH/USDT,SHORT,2355.9487160000003,2024-08-05 07:00:00+00:00,2024-08-05 16:00:00+00:00,2494.315711400198,SL_HIT,-102.8386,80,2172.5590514664027,2494.315711400198,9941.58
ETH/USDT,SHORT,2403.459212,2024-08-05 19:00:00+00:00,2024-08-06 00:00:00+00:00,2538.1228876077744,SL_HIT,-101.9,67,2225.029483189634,2538.1228876077744,9839.68
ETH/USDT,SHORT,2456.578586,2024-08-06 11:00:00+00:00,2024-08-06 14:00:00+00:00,2543.5800418943895,SL_HIT,-102.2865,67,2341.7232774741474,2543.5800418943895,9737.4
ETH/USDT,SHORT,2459.378026,2024-08-06 23:00:00+00:00,2024-08-07 09:00:00+00:00,2535.0856790809335,SL_HIT,-101.8025,90,2359.5824278920886,2535.0856790809335,9635.6
ETH/USDT,SHORT,3438.282206,2024-12-19 19:00:00+00:00,2024-12-20 17:00:00+00:00,3438.282206,SL_HIT,125.8698,70,3300.6527657152433,3438.282206,9761.47
ETH/USDT,SHORT,3213.5071700000003,2025-01-19 23:00:00+00:00,2025-01-20 06:00:00+00:00,3325.219613431709,SL_HIT,-101.5458,90,3066.0571820910545,3325.219613431709,9659.92
ETH/USDT,LONG,3364.8328319999996,2025-01-20 09:00:00+00:00,2025-01-20 17:00:00+00:00,3254.0524250093754,SL_HIT,-100.7069,90,3510.970099987499,3254.0524250093754,9559.21
ETH/USDT,LONG,3331.226112,2025-01-20 18:00:00+00:00,2025-01-21 01:00:00+00:00,3210.6883228117936,SL_HIT,-99.2907,67,3490.3889029176084,3210.6883228117936,9459.92
ETH/USDT,SHORT,3249.7599179999997,2025-01-21 01:00:00+00:00,2025-01-21 18:00:00+00:00,3357.109036647977,SL_HIT,-98.6085,90,3108.144617802697,3357.109036647977,9361.31
ETH/USDT,SHORT,2618.746146,2025-02-03 07:00:00+00:00,2025-02-03 21:00:00+00:00,2782.9782007891617,SL_HIT,-95.7029,85,2400.9923989477843,2782.9782007891617,9265.61
ETH/USDT,SHORT,2701.819528,2025-02-04 07:00:00+00:00,2025-02-04 12:00:00+00:00,2809.0926053313615,SL_HIT,-95.9232,90,2560.049859558185,2809.0926053313615,9169.69
