symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
BTC/USDT,SHORT,63734.65052,2024-03-05 23:00:00+00:00,2024-03-06 05:00:00+00:00,66133.11503346948,SL_HIT,-103.7202,99,60566.44662204069,66133.11503346948,9896.28
BTC/USDT,LONG,67029.30317999999,2024-03-06 08:00:00+00:00,2024-03-06 12:00:00+00:00,64985.37563435771,SL_HIT,-103.5064,90,69723.26582085637,64985.37563435771,9792.77
BTC/USDT,LONG,66013.09998,2024-03-06 12:00:00+00:00,2024-03-13 08:00:00+00:00,73743.72733824622,TP3_HIT,199.504,90,68815.83721390771,66013.09998,9992.28
BTC/USDT,SHORT,63926.912059999995,2024-04-13 23:00:00+00:00,2024-04-15 06:00:00+00:00,65895.18445551282,SL_HIT,-104.4663,75,61332.387392649565,65895.18445551282,9887.81
BTC/USDT,SHORT,52717.15446,2024-08-05 08:00:00+00:00,2024-08-05 14:00:00+00:00,52717.15446,SL_HIT,61.6463,70,50084.70433449533,52717.15446,9949.46
BTC/USDT,SHORT,54017.494340000005,2024-08-05 14:00:00+00:00,2024-08-06 14:00:00+00:00,56415.94922980171,SL_HIT,-102.6317,67,50844.76769359773,56415.94922980171,9846.83
BTC/USDT,SHORT,63447.70792,2026-02-06 00:00:00+00:00,2026-02-06 05:00:00+00:00,66081.84927929612,SL_HIT,-101.7887,70,59965.134294271855,66081.84927929612,9745.04
BTC/USDT,SHORT,65744.74841999999,2026-02-06 09:00:00+00:00,2026-02-06 14:00:00+00:00,68167.33389828763,SL_HIT,-101.1529,67,62545.321468949805,68167.33389828763,9643.88
