symbol,action,entry,entry_time,exit_time,exit_price,exit_reason,pnl_usdt,confidence,tp1,sl,capital_after
ETH/USDT,SHORT,3213.5071700000003,2025-01-19 23:00:00+00:00,2025-01-20 06:00:00+00:00,3325.219613431709,SL_HIT,-100.6057,90,3066.0571820910545,3325.219613431709,9570.48
ETH/USDT,LONG,3364.8328319999996,2025-01-20 09:00:00+00:00,2025-01-20 17:00:00+00:00,3254.0524250093754,SL_HIT,-99.7745,90,3510.970099987499,3254.0524250093754,9470.71
ETH/USDT,LONG,3331.226112,2025-01-20 18:00:00+00:00,2025-01-21 01:00:00+00:00,3210.6883228117936,SL_HIT,-98.3714,77,3490.3889029176084,3210.6883228117936,9372.34
ETH/USDT,SHORT,3249.7599179999997,2025-01-21 01:00:00+00:00,2025-01-21 18:00:00+00:00,3357.109036647977,SL_HIT,-97.6956,90,3108.144617802697,3357.109036647977,9274.64
ETH/USDT,SHORT,2873.885108,2025-02-02 22:00:00+00:00,2025-02-03 01:00:00+00:00,2554.842713901155,TP3_HIT,188.6309,65,2758.235532327693,2873.885108,9463.27
ETH/USDT,SHORT,2495.5008000000003,2025-02-03 01:00:00+00:00,2025-02-03 03:00:00+00:00,2495.5008000000003,SL_HIT,126.219,65,2311.181823806101,2495.5008000000003,9589.49
ETH/USDT,SHORT,2524.8249339999998,2025-02-03 03:00:00+00:00,2025-02-03 15:00:00+00:00,2699.9880552682484,SL_HIT,-97.8301,65,2292.4525929756687,2699.9880552682484,9491.66
ETH/USDT,SHORT,2701.819528,2025-02-04 07:00:00+00:00,2025-02-04 12:00:00+00:00,2809.0926053313615,SL_HIT,-98.2635,90,2560.049859558185,2809.0926053313615,9393.4
ETH/USDT,SHORT,2637.412412,2025-02-04 21:00:00+00:00,2025-02-04 23:00:00+00:00,2740.110967485808,SL_HIT,-97.3113,80,2501.712043352256,2740.110967485808,9296.09
ETH/USDT,SHORT,2729.483994,2025-02-04 23:00:00+00:00,2025-02-06 05:00:00+00:00,2832.688334209702,SL_HIT,-96.4029,90,2593.1522210537314,2832.688334209702,9199.68
ETH/USDT,SHORT,2366.3566339999998,2025-02-25 07:00:00+00:00,2025-02-25 12:00:00+00:00,2444.6826095208917,SL_HIT,-95.888,65,2263.026520638811,2444.6826095208917,9103.8
ETH/USDT,SHORT,2435.722758,2025-02-25 12:00:00+00:00,2025-02-25 20:00:00+00:00,2512.9244675894724,SL_HIT,-95.0591,90,2333.924043214037,2512.9244675894724,9008.74
ETH/USDT,SHORT,2338.192268,2025-02-26 20:00:00+00:00,2025-02-28 06:00:00+00:00,2077.3704727141467,TP3_HIT,183.2511,90,2243.645626441508,2338.192268,9191.99
ETH/USDT,SHORT,2107.858344,2025-02-28 06:00:00+00:00,2025-02-28 14:00:00+00:00,2183.96479274106,SL_HIT,-95.4841,65,2007.3669430119203,2183.96479274106,9096.5
ETH/USDT,SHORT,2165.0968940000002,2025-02-28 14:00:00+00:00,2025-02-28 16:00:00+00:00,2235.2759965003465,SL_HIT,-94.894,77,2072.5353379995386,2235.2759965003465,9001.61
ETH/USDT,LONG,2464.9728959999998,2025-03-03 00:00:00+00:00,2025-03-03 06:00:00+00:00,2388.1667650419054,SL_HIT,-94.0606,68,2566.230979944126,2388.1667650419054,8907.55
ETH/USDT,SHORT,2107.848346,2025-03-03 19:00:00+00:00,2025-03-04 05:00:00+00:00,2107.848346,SL_HIT,55.5414,65,2002.4101862117639,2107.848346,8963.09
ETH/USDT,SHORT,2105.3788400000003,2025-03-04 05:00:00+00:00,2025-03-04 17:00:00+00:00,2105.3788400000003,SL_HIT,55.8188,90,2001.9236486934965,2105.3788400000003,9018.91
ETH/USDT,SHORT,1916.2666700000002,2025-03-10 17:00:00+00:00,2025-03-11 08:00:00+00:00,1916.2666700000002,SL_HIT,118.1766,65,1834.0248805640717,1916.2666700000002,9137.09
ETH/USDT,SHORT,1905.848754,2025-03-11 08:00:00+00:00,2025-03-19 10:00:00+00:00,1973.467345130309,SL_HIT,-94.9763,77,1816.5802064929214,1973.467345130309,9042.11
ETH/USDT,SHORT,1571.745588,2025-04-07 00:00:00+00:00,2025-04-07 14:00:00+00:00,1571.745588,SL_HIT,118.1307,65,1508.671773391316,1571.745588,9160.24
ETH/USDT,SHORT,1555.228892,2025-04-07 15:00:00+00:00,2025-04-09 17:00:00+00:00,1555.228892,SL_HIT,121.5103,77,1461.3111431604887,1555.228892,9281.75
ETH/USDT,SHORT,1513.3672660000002,2025-04-10 19:00:00+00:00,2025-04-11 06:00:00+00:00,1561.3849072072123,SL_HIT,-96.913,90,1450.0501237237172,1561.3849072072123,9184.84
ETH/USDT,LONG,2411.992302,2025-05-09 08:00:00+00:00,2025-05-09 09:00:00+00:00,2337.1195072284627,SL_HIT,-95.9908,65,2510.697323695384,2337.1195072284627,9088.85
ETH/USDT,LONG,2341.558218,2025-05-09 09:00:00+00:00,2025-05-13 18:00:00+00:00,2646.2447730078547,TP3_HIT,185.7295,75,2452.0553720028565,2341.558218,9274.58
ETH/USDT,SHORT,3940.381766,2025-10-10 21:00:00+00:00,2025-10-12 14:00:00+00:00,3940.381766,SL_HIT,57.9524,65,3736.992299520538,3940.381766,9332.53
ETH/USDT,SHORT,3229.1940320000003,2025-11-04 19:00:00+00:00,2025-11-04 22:00:00+00:00,3229.1940320000003,SL_HIT,57.2159,65,3099.4602337100287,3229.1940320000003,9389.75
ETH/USDT,SHORT,3245.790712,2025-11-04 22:00:00+00:00,2025-11-05 13:00:00+00:00,3362.8390670205176,SL_HIT,-97.5428,80,3091.241243972643,3362.8390670205176,9292.2
ETH/USDT,SHORT,3195.090854,2025-11-14 15:00:00+00:00,2025-11-17 06:00:00+00:00,3195.090854,SL_HIT,56.9594,77,3066.970384183684,3195.090854,9349.16
ETH/USDT,SHORT,2718.1162679999998,2025-11-21 07:00:00+00:00,2025-11-21 17:00:00+00:00,2801.60980132654,SL_HIT,-97.7527,80,2608.060264897946,2801.60980132654,9251.41
ETH/USDT,SHORT,2777.184452,2025-11-21 18:00:00+00:00,2025-11-24 05:00:00+00:00,2874.454265594119,SL_HIT,-96.2121,77,2648.7876458745077,2874.454265594119,9155.2
ETH/USDT,SHORT,2378.27425,2026-01-31 18:00:00+00:00,2026-01-31 23:00:00+00:00,2466.7071799320397,SL_HIT,-94.999,65,2261.4737600906137,2466.7071799320397,9060.2
ETH/USDT,SHORT,2449.889924,2026-01-31 23:00:00+00:00,2026-02-03 18:00:00+00:00,2144.441637277514,TP3_HIT,184.9215,80,2339.1296862827326,2449.889924,9245.12
ETH/USDT,SHORT,2118.656184,2026-02-03 18:00:00+00:00,2026-02-03 19:00:00+00:00,2188.2966686494065,SL_HIT,-96.3889,80,2026.791108467458,2188.2966686494065,9148.73
ETH/USDT,SHORT,2203.889134,2026-02-03 19:00:00+00:00,2026-02-03 20:00:00+00:00,2280.1804780315915,SL_HIT,-95.1873,90,2103.196029291211,2280.1804780315915,9053.54
ETH/USDT,SHORT,2234.363038,2026-02-03 22:00:00+00:00,2026-02-05 20:00:00+00:00,1910.1451867602675,TP3_HIT,185.5324,78,2116.7500679128243,2234.363038,9239.08
ETH/USDT,SHORT,1868.0063240000002,2026-02-05 20:00:00+00:00,2026-02-06 01:00:00+00:00,1868.0063240000002,SL_HIT,58.416,65,1750.6024074224729,1868.0063240000002,9297.49
ETH/USDT,SHORT,1930.403842,2026-02-06 01:00:00+00:00,2026-02-06 16:00:00+00:00,2035.4785451758676,SL_HIT,-95.3663,90,1791.205273098843,2035.4785451758676,9202.13
ETH/USDT,LONG,2096.4792119999997,2026-02-07 18:00:00+00:00,2026-02-09 10:00:00+00:00,2029.0408671158955,SL_HIT,-96.0262,89,2185.4188438454726,2029.0408671158955,9106.1
